iter	Passed	Remaining
0	1	100
1	2	111
2	3	116
3	4	108
4	6	114
5	7	124
6	10	134
7	12	142
8	13	138
9	14	132
10	15	128
11	16	124
12	17	118
13	18	115
14	20	113
15	21	111
16	22	110
17	23	108
18	24	105
19	25	102
20	26	100
21	27	98
22	28	95
23	29	93
24	30	91
25	31	89
26	32	87
27	33	87
28	35	87
29	36	85
30	37	83
31	38	81
32	39	80
33	40	78
34	41	76
35	42	74
36	43	73
37	43	71
38	45	70
39	47	70
40	48	69
41	48	67
42	49	65
43	50	64
44	51	62
45	52	61
46	53	60
47	54	59
48	55	58
49	57	57
50	58	56
51	59	55
52	60	53
53	61	52
54	62	50
55	63	49
56	64	48
57	65	47
58	66	46
59	67	44
60	68	43
61	69	42
62	71	41
63	71	40
64	72	39
65	74	38
66	75	36
67	76	35
68	77	34
69	78	33
70	79	32
71	81	31
72	82	30
73	84	29
74	85	28
75	85	27
76	86	25
77	87	24
78	88	23
79	89	22
80	90	21
81	91	20
82	92	19
83	94	17
84	95	16
85	96	15
86	97	14
87	98	13
88	99	12
89	100	11
90	100	9
91	102	8
92	102	7
93	104	6
94	106	5
95	107	4
96	108	3
97	110	2
98	111	1
99	112	0
